slug,kaynak_url,yazar,lisans,kaynak,tarih
acibadem-kurabiyesi,https://commons.wikimedia.org/wiki/File:20260806_Almond_biscuits_at_Pastelaria_St._Paulo.jpg,"<a href=""//commons.wikimedia.org/wiki/User:Yumeto"" title=""User:Yumeto"">Yumeto</a>",cc by-sa 4.0,Wikimedia Commons,2026-09-09
acili-ezme,https://commons.wikimedia.org/wiki/File:Ac%C4%B1l%C4%B1_Ezme.jpg,Garrett Ziegler,cc by-sa 4.0,Wikimedia Commons,2026-09-09
acuka,https://commons.wikimedia.org/wiki/File:Adjika_e-citizen.jpg,"<a href=""//commons.wikimedia.org/wiki/User:Moonsun1981"" title=""User:Moonsun1981"">Moonsun1981</a>",cc by-sa 3.0,Wikimedia Commons,2026-09-09
adana-kofte,https://commons.wikimedia.org/wiki/File:Grilled_ground_meat_filled_in_bell_pepper_(2317777479).jpg,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/85936780@N00"">pelican</a> from Tokyo, Japan",cc by-sa 2.0,Wikimedia Commons,2026-08-18
airfryer-citir-tavuk-parcalari,"https://commons.wikimedia.org/wiki/File:Chicken,_pork_and_rice.jpg","<a href=""//commons.wikimedia.org/wiki/User:Aerous"" title=""User:Aerous"">Aerous</a>",cc by-sa 4.0,Wikimedia Commons,2026-09-10
airfryer-elma-dilim-patates,https://commons.wikimedia.org/wiki/File:DFC_4058_Korean-style_hamburger_steak_topped_with_shredded_seaweed_served_with_thick-cut_fries_and_steamed_vegetables.jpg,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/PattayaPatrol/"">PattayaPatrol</a>",cc by-sa 4.0,Wikimedia Commons,2026-08-18
airfryer-falafel,"https://commons.wikimedia.org/wiki/File:Airfryer,_falafel.jpg","<a href=""//commons.wikimedia.org/wiki/User:Jepz11"" title=""User:Jepz11"">Jepz11</a>",cc by-sa 4.0,Wikimedia Commons,2026-09-09
airfryer-kok-sebze-kavurmasi,https://www.flickr.com/photos/49934554@N08/6086429752,gozamos,by-sa,Openverse,2026-08-18
airfryer-patlican-cips,https://commons.wikimedia.org/wiki/File:Aubergine_fritters.JPG,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Shukantodas&amp;action=edit&amp;redlink=1"" class=""new"" title=""Us",cc by-sa 4.0,Wikimedia Commons,2026-08-18
airfryer-sebzeli-tavuk-sis,"https://commons.wikimedia.org/wiki/File:DFC_5235-_Charcoal-grilled_skewers_of_juicy,_marinated_chicken_sizzling_to_a_perfect_caramelized_finish.jpg",Pattaya Patrol,cc by-sa 4.0,Wikimedia Commons,2026-09-10
airfryer-soya-balli-somon,https://commons.wikimedia.org/wiki/File:Salmon_Fillet_Salad_-_Jonny%27s_2026-06-12.jpg,"<a href=""//commons.wikimedia.org/wiki/User:Onthewings"" title=""User:Onthewings"">Andy Li</a>",cc0,Wikimedia Commons,2026-08-18
akdeniz-usulu-protein-bowl,https://commons.wikimedia.org/wiki/File:DFC_1238_Plate_of_seasoned_grilled_meat_topped_with_raw_onion_rings_served_with_a_baked_potato_topped_with_creamy_sauce_a_side_of_rice_or_cabbage_and_dipping_sauce.jpg,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/PattayaPatrol/"">PattayaPatrol</a>",cc by-sa 4.0,Wikimedia Commons,2026-08-18
ali-nazik,https://commons.wikimedia.org/wiki/File:Ali-nazik-2.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Mence&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Men",cc by-sa 4.0,Wikimedia Commons,2026-09-09
anadolu-kesme-corbasi,https://commons.wikimedia.org/wiki/File:Curauma-Catering-Banqueter%C3%ADa-Valpara%C3%ADso-Vi%C3%B1a-del-Mar-Pantrucas.JPG,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Curaumacatering&amp;action=edit&amp;redlink=1"" class=""new"" title",cc by-sa 4.0,Wikimedia Commons,2026-08-18
anali-kizli,https://commons.wikimedia.org/wiki/File:%22Madre_e_hija%22_(sopa_turca).jpg,"<a href=""//commons.wikimedia.org/wiki/User:E4024"" class=""mw-redirect"" title=""User:E4024"">E4024</a>",cc by-sa 4.0,Wikimedia Commons,2026-09-09
ankara-tava,https://commons.wikimedia.org/wiki/File:Ankara_tava.jpg,"<a href=""//commons.wikimedia.org/wiki/User:E4024"" class=""mw-redirect"" title=""User:E4024"">E4024</a>",cc by-sa 4.0,Wikimedia Commons,2026-09-09
arabasi-corbasi,https://commons.wikimedia.org/wiki/File:Arabasi_soup.jpg,"<a href=""//commons.wikimedia.org/wiki/User:E4024"" class=""mw-redirect"" title=""User:E4024"">E4024</a>",cc by-sa 4.0,Wikimedia Commons,2026-08-18
arnavut-cigeri,https://commons.wikimedia.org/w/index.php?curid=61761637,E4024,by-sa,Openverse,2026-09-09
asure,https://commons.wikimedia.org/wiki/File:A%C5%9Fure.jpg,"<a href=""//commons.wikimedia.org/wiki/User:E4024"" class=""mw-redirect"" title=""User:E4024"">E4024</a>",cc by-sa 4.0,Wikimedia Commons,2026-08-18
asure-saray,https://commons.wikimedia.org/wiki/File:Falafel_Super_Bowl_Salad_-_Leon_2025-10-27.jpg,"<a href=""//commons.wikimedia.org/wiki/User:Onthewings"" title=""User:Onthewings"">Andy Li</a>",cc0,Wikimedia Commons,2026-09-09
avokadolu-yumurtali-tost,https://commons.wikimedia.org/wiki/File:Hummus_Fatteh_with_Meat.jpg,"<a href=""//commons.wikimedia.org/wiki/User:%D8%B1%D9%88%D8%AA%D8%A7%D9%86%D8%A7"" title=""User:روتانا"">روتانا</a>",cc by 4.0,Wikimedia Commons,2026-08-18
ayva-tatlisi,https://commons.wikimedia.org/wiki/File:Ayva_(quince)_dessert_from_Turkey.jpg,"<a href=""//commons.wikimedia.org/wiki/User:E4024"" class=""mw-redirect"" title=""User:E4024"">E4024</a>",cc by-sa 4.0,Wikimedia Commons,2026-09-09
baharatli-karnabahar-izgara,https://commons.wikimedia.org/wiki/File:Cajun_Blackened_Steak.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:JIP&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:JIP (",cc by-sa 3.0,Wikimedia Commons,2026-08-18
baharatli-patates-wedges,"https://commons.wikimedia.org/wiki/File:Crispy,_seasoned_perfection%E2%80%94Cameroonian-style_fried_snails.jpg","<a href=""//commons.wikimedia.org/w/index.php?title=User:Black_Lyn&amp;action=edit&amp;redlink=1"" class=""new"" title=""User",cc by-sa 4.0,Wikimedia Commons,2026-08-18
